experiment,group,PID,cued,response,Hits,Total,Present,Selected,Misses,FalseAlarms,CorrectRejections,Recall,Precision,F1,F1chance
felt touch,ASD,asd01,attention,attention,10,60,10,14,0,4,46,1,0.7142857142857143,0.8333333333333333,0.2857142857142857
felt touch,ASD,asd01,calming,calming,2,60,10,16,8,14,36,0.2,0.125,0.15384615384615385,0.2857142857142857
felt touch,ASD,asd01,gratitude,gratitude,0,60,10,1,10,1,49,0,0,0,0.2857142857142857
felt touch,ASD,asd01,happiness,happiness,10,60,10,10,0,0,50,1,1,1,0.2857142857142857
felt touch,ASD,asd01,love,love,10,60,10,18,0,8,42,1,0.5555555555555556,0.7142857142857143,0.2857142857142857
felt touch,ASD,asd01,sadness,sadness,0,60,10,1,10,1,49,0,0,0,0.2857142857142857
felt touch,ASD,asd02,attention,attention,10,60,10,22,0,12,38,1,0.45454545454545453,0.625,0.2857142857142857
felt touch,ASD,asd02,calming,calming,6,60,10,8,4,2,48,0.6,0.75,0.6666666666666665,0.2857142857142857
felt touch,ASD,asd02,gratitude,gratitude,0,60,10,1,10,1,49,0,0,0,0.2857142857142857
felt touch,ASD,asd02,happiness,happiness,8,60,10,8,2,0,50,0.8,1,0.888888888888889,0.2857142857142857
felt touch,ASD,asd02,love,love,8,60,10,8,2,0,50,0.8,1,0.888888888888889,0.2857142857142857
felt touch,ASD,asd02,sadness,sadness,7,60,10,10,3,3,47,0.7,0.7,0.7,0.2857142857142857
felt touch,ASD,asd03,attention,attention,10,60,10,30,0,20,30,1,0.3333333333333333,0.5,0.2857142857142857
felt touch,ASD,asd03,calming,calming,1,60,10,11,9,10,40,0.1,0.09090909090909091,0.09523809523809525,0.2857142857142857
felt touch,ASD,asd03,gratitude,gratitude,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd03,happiness,happiness,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd03,love,love,0,60,10,9,10,9,41,0,0,0,0.2857142857142857
felt touch,ASD,asd03,sadness,sadness,10,60,10,10,0,0,50,1,1,1,0.2857142857142857
felt touch,ASD,asd04,attention,attention,10,60,10,20,0,10,40,1,0.5,0.6666666666666666,0.2857142857142857
felt touch,ASD,asd04,calming,calming,2,60,10,4,8,2,48,0.2,0.5,0.28571428571428575,0.2857142857142857
felt touch,ASD,asd04,gratitude,gratitude,0,60,10,7,10,7,43,0,0,0,0.2857142857142857
felt touch,ASD,asd04,happiness,happiness,10,60,10,10,0,0,50,1,1,1,0.2857142857142857
felt touch,ASD,asd04,love,love,10,60,10,13,0,3,47,1,0.7692307692307693,0.8695652173913044,0.2857142857142857
felt touch,ASD,asd04,sadness,sadness,5,60,10,6,5,1,49,0.5,0.8333333333333334,0.625,0.2857142857142857
felt touch,ASD,asd05,attention,attention,9,60,10,9,1,0,50,0.9,1,0.9473684210526316,0.2857142857142857
felt touch,ASD,asd05,calming,calming,7,60,10,10,3,3,47,0.7,0.7,0.7,0.2857142857142857
felt touch,ASD,asd05,gratitude,gratitude,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd05,happiness,happiness,1,60,10,1,9,0,50,0.1,1,0.18181818181818182,0.2857142857142857
felt touch,ASD,asd05,love,love,9,60,10,9,1,0,50,0.9,1,0.9473684210526316,0.2857142857142857
felt touch,ASD,asd05,sadness,sadness,2,60,10,2,8,0,50,0.2,1,0.33333333333333337,0.2857142857142857
felt touch,ASD,asd06,attention,attention,10,60,10,11,0,1,49,1,0.9090909090909091,0.9523809523809523,0.2857142857142857
felt touch,ASD,asd06,calming,calming,8,60,10,12,2,4,46,0.8,0.6666666666666666,0.7272727272727272,0.2857142857142857
felt touch,ASD,asd06,gratitude,gratitude,2,60,10,4,8,2,48,0.2,0.5,0.28571428571428575,0.2857142857142857
felt touch,ASD,asd06,happiness,happiness,0,60,10,7,10,7,43,0,0,0,0.2857142857142857
felt touch,ASD,asd06,love,love,10,60,10,12,0,2,48,1,0.8333333333333334,0.9090909090909091,0.2857142857142857
felt touch,ASD,asd06,sadness,sadness,4,60,10,4,6,0,50,0.4,1,0.5714285714285715,0.2857142857142857
felt touch,ASD,asd07,attention,attention,8,60,10,18,2,10,40,0.8,0.4444444444444444,0.5714285714285714,0.2857142857142857
felt touch,ASD,asd07,calming,calming,0,60,10,2,10,2,48,0,0,0,0.2857142857142857
felt touch,ASD,asd07,gratitude,gratitude,1,60,10,15,9,14,36,0.1,0.06666666666666667,0.08,0.2857142857142857
felt touch,ASD,asd07,happiness,happiness,0,60,10,7,10,7,43,0,0,0,0.2857142857142857
felt touch,ASD,asd07,love,love,0,60,10,6,10,6,44,0,0,0,0.2857142857142857
felt touch,ASD,asd07,sadness,sadness,2,60,10,12,8,10,40,0.2,0.16666666666666666,0.1818181818181818,0.2857142857142857
felt touch,ASD,asd08,attention,attention,10,60,10,28,0,18,32,1,0.35714285714285715,0.5263157894736842,0.2857142857142857
felt touch,ASD,asd08,calming,calming,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd08,gratitude,gratitude,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd08,happiness,happiness,1,60,10,1,9,0,50,0.1,1,0.18181818181818182,0.2857142857142857
felt touch,ASD,asd08,love,love,10,60,10,18,0,8,42,1,0.5555555555555556,0.7142857142857143,0.2857142857142857
felt touch,ASD,asd08,sadness,sadness,10,60,10,13,0,3,47,1,0.7692307692307693,0.8695652173913044,0.2857142857142857
felt touch,ASD,asd09,attention,attention,10,60,10,17,0,7,43,1,0.5882352941176471,0.7407407407407407,0.2857142857142857
felt touch,ASD,asd09,calming,calming,10,60,10,20,0,10,40,1,0.5,0.6666666666666666,0.2857142857142857
felt touch,ASD,asd09,gratitude,gratitude,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd09,happiness,happiness,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd09,love,love,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd09,sadness,sadness,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd10,attention,attention,7,60,10,7,3,0,50,0.7,1,0.8235294117647058,0.2857142857142857
felt touch,ASD,asd10,calming,calming,8,60,10,17,2,9,41,0.8,0.47058823529411764,0.5925925925925927,0.2857142857142857
felt touch,ASD,asd10,gratitude,gratitude,7,60,10,7,3,0,50,0.7,1,0.8235294117647058,0.2857142857142857
felt touch,ASD,asd10,happiness,happiness,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd10,love,love,8,60,10,10,2,2,48,0.8,0.8,0.8000000000000002,0.2857142857142857
felt touch,ASD,asd10,sadness,sadness,3,60,10,5,7,2,48,0.3,0.6,0.4,0.2857142857142857
felt touch,ASD,asd10a,attention,attention,7,60,10,27,3,20,30,0.7,0.25925925925925924,0.37837837837837834,0.2857142857142857
felt touch,ASD,asd10a,calming,calming,8,60,10,12,2,4,46,0.8,0.6666666666666666,0.7272727272727272,0.2857142857142857
felt touch,ASD,asd10a,gratitude,gratitude,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd10a,happiness,happiness,0,60,10,2,10,2,48,0,0,0,0.2857142857142857
felt touch,ASD,asd10a,love,love,1,60,10,1,9,0,50,0.1,1,0.18181818181818182,0.2857142857142857
felt touch,ASD,asd10a,sadness,sadness,2,60,10,2,8,0,50,0.2,1,0.33333333333333337,0.2857142857142857
felt touch,ASD,asd11,attention,attention,7,60,10,18,3,11,39,0.7,0.3888888888888889,0.5,0.2857142857142857
felt touch,ASD,asd11,calming,calming,3,60,10,10,7,7,43,0.3,0.3,0.3,0.2857142857142857
felt touch,ASD,asd11,gratitude,gratitude,0,60,10,6,10,6,44,0,0,0,0.2857142857142857
felt touch,ASD,asd11,happiness,happiness,4,60,10,11,6,7,43,0.4,0.36363636363636365,0.380952380952381,0.2857142857142857
felt touch,ASD,asd11,love,love,4,60,10,6,6,2,48,0.4,0.6666666666666666,0.5,0.2857142857142857
felt touch,ASD,asd11,sadness,sadness,2,60,10,5,8,3,47,0.2,0.4,0.26666666666666666,0.2857142857142857
felt touch,ASD,asd12,attention,attention,10,60,10,19,0,9,41,1,0.5263157894736842,0.6896551724137931,0.2857142857142857
felt touch,ASD,asd12,calming,calming,10,60,10,12,0,2,48,1,0.8333333333333334,0.9090909090909091,0.2857142857142857
felt touch,ASD,asd12,gratitude,gratitude,2,60,10,7,8,5,45,0.2,0.2857142857142857,0.23529411764705882,0.2857142857142857
felt touch,ASD,asd12,happiness,happiness,5,60,10,5,5,0,50,0.5,1,0.6666666666666666,0.2857142857142857
felt touch,ASD,asd12,love,love,9,60,10,11,1,2,48,0.9,0.8181818181818182,0.8571428571428572,0.2857142857142857
felt touch,ASD,asd12,sadness,sadness,2,60,10,2,8,0,50,0.2,1,0.33333333333333337,0.2857142857142857
felt touch,ASD,asd13,attention,attention,9,61,10,20,1,11,40,0.9,0.45,0.6,0.28169014084507044
felt touch,ASD,asd13,calming,calming,9,61,10,15,1,6,45,0.9,0.6,0.7200000000000001,0.28169014084507044
felt touch,ASD,asd13,gratitude,gratitude,2,61,10,5,8,3,48,0.2,0.4,0.26666666666666666,0.28169014084507044
felt touch,ASD,asd13,happiness,happiness,0,61,11,4,11,4,46,0,0,0,0.3055555555555556
felt touch,ASD,asd13,love,love,0,61,10,8,10,8,43,0,0,0,0.28169014084507044
felt touch,ASD,asd13,sadness,sadness,0,61,10,4,10,4,47,0,0,0,0.28169014084507044
felt touch,ASD,asd14,attention,attention,10,60,10,15,0,5,45,1,0.6666666666666666,0.8,0.2857142857142857
felt touch,ASD,asd14,calming,calming,5,60,10,12,5,7,43,0.5,0.4166666666666667,0.45454545454545453,0.2857142857142857
felt touch,ASD,asd14,gratitude,gratitude,7,60,10,10,3,3,47,0.7,0.7,0.7,0.2857142857142857
felt touch,ASD,asd14,happiness,happiness,7,60,10,9,3,2,48,0.7,0.7777777777777778,0.7368421052631577,0.2857142857142857
felt touch,ASD,asd14,love,love,2,60,10,5,8,3,47,0.2,0.4,0.26666666666666666,0.2857142857142857
felt touch,ASD,asd14,sadness,sadness,1,60,10,6,9,5,45,0.1,0.16666666666666666,0.125,0.2857142857142857
felt touch,ASD,asd15,attention,attention,10,60,10,11,0,1,49,1,0.9090909090909091,0.9523809523809523,0.2857142857142857
felt touch,ASD,asd15,calming,calming,3,60,10,5,7,2,48,0.3,0.6,0.4,0.2857142857142857
felt touch,ASD,asd15,gratitude,gratitude,2,60,10,6,8,4,46,0.2,0.3333333333333333,0.25,0.2857142857142857
felt touch,ASD,asd15,happiness,happiness,4,60,10,7,6,3,47,0.4,0.5714285714285714,0.47058823529411764,0.2857142857142857
felt touch,ASD,asd15,love,love,7,60,10,8,3,1,49,0.7,0.875,0.7777777777777777,0.2857142857142857
felt touch,ASD,asd15,sadness,sadness,1,60,10,7,9,6,44,0.1,0.14285714285714285,0.11764705882352941,0.2857142857142857
felt touch,ASD,asd16,attention,attention,10,60,10,12,0,2,48,1,0.8333333333333334,0.9090909090909091,0.2857142857142857
felt touch,ASD,asd16,calming,calming,6,60,10,9,4,3,47,0.6,0.6666666666666666,0.631578947368421,0.2857142857142857
felt touch,ASD,asd16,gratitude,gratitude,4,60,10,6,6,2,48,0.4,0.6666666666666666,0.5,0.2857142857142857
felt touch,ASD,asd16,happiness,happiness,4,60,10,6,6,2,48,0.4,0.6666666666666666,0.5,0.2857142857142857
felt touch,ASD,asd16,love,love,6,60,10,9,4,3,47,0.6,0.6666666666666666,0.631578947368421,0.2857142857142857
felt touch,ASD,asd16,sadness,sadness,4,60,10,8,6,4,46,0.4,0.5,0.4444444444444445,0.2857142857142857
felt touch,ASD,asd17,attention,attention,9,60,10,13,1,4,46,0.9,0.6923076923076923,0.7826086956521738,0.2857142857142857
felt touch,ASD,asd17,calming,calming,2,60,10,11,8,9,41,0.2,0.18181818181818182,0.1904761904761905,0.2857142857142857
felt touch,ASD,asd17,gratitude,gratitude,4,60,10,9,6,5,45,0.4,0.4444444444444444,0.4210526315789474,0.2857142857142857
felt touch,ASD,asd17,happiness,happiness,0,60,10,5,10,5,45,0,0,0,0.2857142857142857
felt touch,ASD,asd17,love,love,4,60,10,9,6,5,45,0.4,0.4444444444444444,0.4210526315789474,0.2857142857142857
felt touch,ASD,asd17,sadness,sadness,0,60,10,9,10,9,41,0,0,0,0.2857142857142857
felt touch,ASD,asd18,attention,attention,10,60,10,19,0,9,41,1,0.5263157894736842,0.6896551724137931,0.2857142857142857
felt touch,ASD,asd18,calming,calming,9,60,10,21,1,12,38,0.9,0.42857142857142855,0.5806451612903225,0.2857142857142857
felt touch,ASD,asd18,gratitude,gratitude,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd18,happiness,happiness,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd18,love,love,10,60,10,11,0,1,49,1,0.9090909090909091,0.9523809523809523,0.2857142857142857
felt touch,ASD,asd18,sadness,sadness,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd20,attention,attention,8,60,10,24,2,16,34,0.8,0.3333333333333333,0.47058823529411764,0.2857142857142857
felt touch,ASD,asd20,calming,calming,4,60,10,13,6,9,41,0.4,0.3076923076923077,0.34782608695652173,0.2857142857142857
felt touch,ASD,asd20,gratitude,gratitude,1,60,10,2,9,1,49,0.1,0.5,0.16666666666666669,0.2857142857142857
felt touch,ASD,asd20,happiness,happiness,1,60,10,4,9,3,47,0.1,0.25,0.14285714285714288,0.2857142857142857
felt touch,ASD,asd20,love,love,5,60,10,14,5,9,41,0.5,0.35714285714285715,0.41666666666666663,0.2857142857142857
felt touch,ASD,asd20,sadness,sadness,1,60,10,3,9,2,48,0.1,0.3333333333333333,0.15384615384615383,0.2857142857142857
felt touch,ASD,asd20a,attention,attention,10,60,10,21,0,11,39,1,0.47619047619047616,0.6451612903225806,0.2857142857142857
felt touch,ASD,asd20a,calming,calming,7,60,10,12,3,5,45,0.7,0.5833333333333334,0.6363636363636365,0.2857142857142857
felt touch,ASD,asd20a,gratitude,gratitude,0,60,10,8,10,8,42,0,0,0,0.2857142857142857
felt touch,ASD,asd20a,happiness,happiness,0,60,10,10,10,10,40,0,0,0,0.2857142857142857
felt touch,ASD,asd20a,love,love,6,60,10,6,4,0,50,0.6,1,0.7499999999999999,0.2857142857142857
felt touch,ASD,asd20a,sadness,sadness,3,60,10,3,7,0,50,0.3,1,0.4615384615384615,0.2857142857142857
felt touch,ASD,asd21,attention,attention,10,60,10,18,0,8,42,1,0.5555555555555556,0.7142857142857143,0.2857142857142857
felt touch,ASD,asd21,calming,calming,9,60,10,22,1,13,37,0.9,0.4090909090909091,0.5625000000000001,0.2857142857142857
felt touch,ASD,asd21,gratitude,gratitude,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd21,happiness,happiness,5,60,10,5,5,0,50,0.5,1,0.6666666666666666,0.2857142857142857
felt touch,ASD,asd21,love,love,7,60,10,14,3,7,43,0.7,0.5,0.5833333333333334,0.2857142857142857
felt touch,ASD,asd21,sadness,sadness,0,60,10,1,10,1,49,0,0,0,0.2857142857142857
felt touch,ASD,asd22,attention,attention,9,60,10,16,1,7,43,0.9,0.5625,0.6923076923076923,0.2857142857142857
felt touch,ASD,asd22,calming,calming,6,60,10,12,4,6,44,0.6,0.5,0.5454545454545454,0.2857142857142857
felt touch,ASD,asd22,gratitude,gratitude,6,60,10,11,4,5,45,0.6,0.5454545454545454,0.5714285714285713,0.2857142857142857
felt touch,ASD,asd22,happiness,happiness,1,60,10,3,9,2,48,0.1,0.3333333333333333,0.15384615384615383,0.2857142857142857
felt touch,ASD,asd22,love,love,3,60,10,8,7,5,45,0.3,0.375,0.33333333333333326,0.2857142857142857
felt touch,ASD,asd22,sadness,sadness,2,60,10,7,8,5,45,0.2,0.2857142857142857,0.23529411764705882,0.2857142857142857
felt touch,ASD,asd23,attention,attention,10,60,10,15,0,5,45,1,0.6666666666666666,0.8,0.2857142857142857
felt touch,ASD,asd23,calming,calming,10,60,10,18,0,8,42,1,0.5555555555555556,0.7142857142857143,0.2857142857142857
felt touch,ASD,asd23,gratitude,gratitude,0,60,10,1,10,1,49,0,0,0,0.2857142857142857
felt touch,ASD,asd23,happiness,happiness,10,60,10,15,0,5,45,1,0.6666666666666666,0.8,0.2857142857142857
felt touch,ASD,asd23,love,love,10,60,10,10,0,0,50,1,1,1,0.2857142857142857
felt touch,ASD,asd23,sadness,sadness,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd24,attention,attention,10,60,10,10,0,0,50,1,1,1,0.2857142857142857
felt touch,ASD,asd24,calming,calming,10,60,10,16,0,6,44,1,0.625,0.7692307692307693,0.2857142857142857
felt touch,ASD,asd24,gratitude,gratitude,8,60,10,8,2,0,50,0.8,1,0.888888888888889,0.2857142857142857
felt touch,ASD,asd24,happiness,happiness,0,60,10,1,10,1,49,0,0,0,0.2857142857142857
felt touch,ASD,asd24,love,love,8,60,10,8,2,0,50,0.8,1,0.888888888888889,0.2857142857142857
felt touch,ASD,asd24,sadness,sadness,7,60,10,7,3,0,50,0.7,1,0.8235294117647058,0.2857142857142857
felt touch,ASD,asd25,attention,attention,10,60,10,11,0,1,49,1,0.9090909090909091,0.9523809523809523,0.2857142857142857
felt touch,ASD,asd25,calming,calming,10,60,10,11,0,1,49,1,0.9090909090909091,0.9523809523809523,0.2857142857142857
felt touch,ASD,asd25,gratitude,gratitude,8,60,10,9,2,1,49,0.8,0.8888888888888888,0.8421052631578948,0.2857142857142857
felt touch,ASD,asd25,happiness,happiness,9,60,10,10,1,1,49,0.9,0.9,0.9,0.2857142857142857
felt touch,ASD,asd25,love,love,7,60,10,8,3,1,49,0.7,0.875,0.7777777777777777,0.2857142857142857
felt touch,ASD,asd25,sadness,sadness,6,60,10,7,4,1,49,0.6,0.8571428571428571,0.7058823529411764,0.2857142857142857
felt touch,ASD,asd26,attention,attention,9,60,10,12,1,3,47,0.9,0.75,0.8181818181818182,0.2857142857142857
felt touch,ASD,asd26,calming,calming,4,60,10,11,6,7,43,0.4,0.36363636363636365,0.380952380952381,0.2857142857142857
felt touch,ASD,asd26,gratitude,gratitude,5,60,10,6,5,1,49,0.5,0.8333333333333334,0.625,0.2857142857142857
felt touch,ASD,asd26,happiness,happiness,5,60,10,6,5,1,49,0.5,0.8333333333333334,0.625,0.2857142857142857
felt touch,ASD,asd26,love,love,3,60,10,9,7,6,44,0.3,0.3333333333333333,0.3157894736842105,0.2857142857142857
felt touch,ASD,asd26,sadness,sadness,6,60,10,9,4,3,47,0.6,0.6666666666666666,0.631578947368421,0.2857142857142857
felt touch,ASD,asd27,attention,attention,10,60,10,12,0,2,48,1,0.8333333333333334,0.9090909090909091,0.2857142857142857
felt touch,ASD,asd27,calming,calming,8,60,10,13,2,5,45,0.8,0.6153846153846154,0.6956521739130435,0.2857142857142857
felt touch,ASD,asd27,gratitude,gratitude,8,60,10,10,2,2,48,0.8,0.8,0.8000000000000002,0.2857142857142857
felt touch,ASD,asd27,happiness,happiness,10,60,10,10,0,0,50,1,1,1,0.2857142857142857
felt touch,ASD,asd27,love,love,8,60,10,9,2,1,49,0.8,0.8888888888888888,0.8421052631578948,0.2857142857142857
felt touch,ASD,asd27,sadness,sadness,6,60,10,6,4,0,50,0.6,1,0.7499999999999999,0.2857142857142857
felt touch,ASD,asd28,attention,attention,10,60,10,19,0,9,41,1,0.5263157894736842,0.6896551724137931,0.2857142857142857
felt touch,ASD,asd28,calming,calming,9,60,10,12,1,3,47,0.9,0.75,0.8181818181818182,0.2857142857142857
felt touch,ASD,asd28,gratitude,gratitude,4,60,10,5,6,1,49,0.4,0.8,0.5333333333333333,0.2857142857142857
felt touch,ASD,asd28,happiness,happiness,1,60,10,1,9,0,50,0.1,1,0.18181818181818182,0.2857142857142857
felt touch,ASD,asd28,love,love,9,60,10,10,1,1,49,0.9,0.9,0.9,0.2857142857142857
felt touch,ASD,asd28,sadness,sadness,8,60,10,11,2,3,47,0.8,0.7272727272727273,0.761904761904762,0.2857142857142857
felt touch,ASD,asd29,attention,attention,10,60,10,13,0,3,47,1,0.7692307692307693,0.8695652173913044,0.2857142857142857
felt touch,ASD,asd29,calming,calming,7,60,10,10,3,3,47,0.7,0.7,0.7,0.2857142857142857
felt touch,ASD,asd29,gratitude,gratitude,8,60,10,15,2,7,43,0.8,0.5333333333333333,0.64,0.2857142857142857
felt touch,ASD,asd29,happiness,happiness,0,60,10,2,10,2,48,0,0,0,0.2857142857142857
felt touch,ASD,asd29,love,love,10,60,10,12,0,2,48,1,0.8333333333333334,0.9090909090909091,0.2857142857142857
felt touch,ASD,asd29,sadness,sadness,1,60,10,1,9,0,50,0.1,1,0.18181818181818182,0.2857142857142857
felt touch,ASD,asd30,attention,attention,10,60,10,17,0,7,43,1,0.5882352941176471,0.7407407407407407,0.2857142857142857
felt touch,ASD,asd30,calming,calming,5,60,10,12,5,7,43,0.5,0.4166666666666667,0.45454545454545453,0.2857142857142857
felt touch,ASD,asd30,gratitude,gratitude,4,60,10,5,6,1,49,0.4,0.8,0.5333333333333333,0.2857142857142857
felt touch,ASD,asd30,happiness,happiness,6,60,10,10,4,4,46,0.6,0.6,0.6,0.2857142857142857
felt touch,ASD,asd30,love,love,6,60,10,11,4,5,45,0.6,0.5454545454545454,0.5714285714285713,0.2857142857142857
felt touch,ASD,asd30,sadness,sadness,5,60,10,5,5,0,50,0.5,1,0.6666666666666666,0.2857142857142857
felt touch,ASD,asd31,attention,attention,10,60,10,22,0,12,38,1,0.45454545454545453,0.625,0.2857142857142857
